customer_id,industry,segment,signup_date,subscription_id,plan_tier,mrr,start_date,end_date,status,logins_last_30_days,reports_generated,api_calls,ticket_count,avg_resolution_time,avg_csat,is_churned,engagement_risk_tier,tenure_days
CUST_00001,EdTech,SMB,2023-11-22,SUB_00001,Pro,199,2023-11-22,,Active,33,13,816,5.0,52.4,3.2,0,Healthy (16+ logins),40.0
CUST_00002,Logistics,SMB,2023-07-30,SUB_00002,Pro,199,2023-07-30,,Active,20,1,823,2.0,64.5,2.5,0,Healthy (16+ logins),155.0
CUST_00003,E-commerce,Mid-Market,2023-05-24,SUB_00003,Starter,49,2023-05-24,,Active,42,9,89,0.0,0.0,5.0,0,Healthy (16+ logins),222.0
CUST_00004,Logistics,SMB,2022-05-12,SUB_00004,Pro,199,2022-05-12,2023-03-09,Churned,2,0,143,1.0,13.0,5.0,1,High Risk (≤5 logins),301.0
CUST_00005,Logistics,SMB,2022-11-15,SUB_00005,Enterprise,999,2022-11-15,,Active,42,13,44995,4.0,49.25,4.0,0,Healthy (16+ logins),412.0
CUST_00006,Healthcare,SMB,2023-09-13,SUB_00006,Starter,49,2023-09-13,2023-11-18,Churned,2,0,620,2.0,61.5,3.0,1,High Risk (≤5 logins),66.0
CUST_00007,E-commerce,SMB,2022-06-17,SUB_00007,Starter,49,2022-06-17,2022-08-01,Churned,0,1,863,4.0,30.75,2.5,1,High Risk (≤5 logins),45.0
CUST_00008,E-commerce,SMB,2023-02-01,SUB_00008,Starter,49,2023-02-01,,Active,33,10,203,4.0,26.0,3.0,0,Healthy (16+ logins),334.0
CUST_00009,E-commerce,SMB,2022-06-29,SUB_00009,Pro,199,2022-06-29,,Active,21,4,555,3.0,35.0,3.6666666666666665,0,Healthy (16+ logins),551.0
CUST_00010,Logistics,SMB,2022-02-27,SUB_00010,Pro,199,2022-02-27,2022-12-07,Churned,3,1,519,2.0,41.5,3.5,1,High Risk (≤5 logins),283.0
CUST_00011,EdTech,SMB,2023-04-25,SUB_00011,Starter,49,2023-04-25,,Active,10,7,391,0.0,0.0,5.0,0,Medium Risk (6-15 logins),251.0
CUST_00012,E-commerce,Mid-Market,2023-08-14,SUB_00012,Pro,199,2023-08-14,2023-10-09,Churned,2,1,300,3.0,39.666666666666664,5.0,1,High Risk (≤5 logins),56.0
