customer_id,industry,segment,signup_date
CUST_00001,EdTech,SMB,2023-11-22
CUST_00002,Logistics,SMB,2023-07-30
CUST_00003,E-commerce,Mid-Market,2023-05-24
CUST_00004,Logistics,SMB,2022-05-12
CUST_00005,Logistics,SMB,2022-11-15
CUST_00006,Healthcare,SMB,2023-09-13
CUST_00007,E-commerce,SMB,2022-06-17
CUST_00008,E-commerce,SMB,2023-02-01
CUST_00009,E-commerce,SMB,2022-06-29
CUST_00010,Logistics,SMB,2022-02-27
CUST_00011,EdTech,SMB,2023-04-25
CUST_00012,E-commerce,Mid-Market,2023-08-14
CUST_00013,Logistics,Mid-Market,2023-04-05
CUST_00014,Healthcare,SMB,2022-03-02
CUST_00015,EdTech,SMB,2023-01-04
CUST_00016,Healthcare,SMB,2022-05-01
CUST_00017,EdTech,SMB,2023-06-30
CUST_00018,Logistics,SMB,2023-08-05
CUST_00019,FinTech,Mid-Market,2022-01-17
CUST_00020,EdTech,SMB,2023-05-11
CUST_00021,Healthcare,SMB,2023-05-12
CUST_00022,Logistics,SMB,2023-05-20
CUST_00023,EdTech,Mid-Market,2023-06-16
CUST_00024,FinTech,SMB,2022-11-11
CUST_00025,FinTech,Mid-Market,2022-03-10
CUST_00026,E-commerce,SMB,2022-06-10
CUST_00027,E-commerce,Mid-Market,2023-09-06
CUST_00028,Healthcare,Mid-Market,2022-05-25
CUST_00029,EdTech,SMB,2023-07-23
CUST_00030,EdTech,SMB,2023-08-18
CUST_00031,E-commerce,SMB,2023-01-20
CUST_00032,EdTech,SMB,2022-09-26
CUST_00033,EdTech,Mid-Market,2023-03-30
CUST_00034,FinTech,Mid-Market,2023-11-30
CUST_00035,E-commerce,Mid-Market,2023-06-02
CUST_00036,Logistics,Mid-Market,2022-12-16
CUST_00037,E-commerce,SMB,2022-04-20
CUST_00038,Logistics,SMB,2023-04-28
CUST_00039,FinTech,Mid-Market,2023-02-11
CUST_00040,Healthcare,SMB,2023-10-12
CUST_00041,EdTech,Mid-Market,2022-02-20
CUST_00042,FinTech,SMB,2023-02-07
CUST_00043,EdTech,SMB,2023-07-17
CUST_00044,Healthcare,Enterprise,2023-04-21
CUST_00045,Healthcare,SMB,2022-03-28
CUST_00046,FinTech,Enterprise,2022-03-09
CUST_00047,Healthcare,Enterprise,2023-08-19
CUST_00048,Logistics,Mid-Market,2022-02-11
CUST_00049,Healthcare,Mid-Market,2022-02-26
CUST_00050,EdTech,SMB,2022-07-15
CUST_00051,EdTech,Mid-Market,2023-11-09
CUST_00052,EdTech,SMB,2022-03-03
CUST_00053,EdTech,SMB,2022-09-20
CUST_00054,Logistics,Mid-Market,2022-04-22
CUST_00055,E-commerce,SMB,2022-06-27
CUST_00056,FinTech,SMB,2022-01-26
CUST_00057,EdTech,SMB,2023-02-14
CUST_00058,Healthcare,SMB,2023-06-15
CUST_00059,EdTech,Mid-Market,2022-11-13
CUST_00060,Healthcare,SMB,2023-06-16
CUST_00061,Healthcare,Enterprise,2022-04-16
CUST_00062,EdTech,Mid-Market,2023-04-09
CUST_00063,Logistics,Mid-Market,2022-09-03
CUST_00064,Healthcare,SMB,2022-03-22
CUST_00065,Healthcare,Mid-Market,2023-10-24
CUST_00066,EdTech,SMB,2023-01-31
CUST_00067,Healthcare,Mid-Market,2023-06-06
CUST_00068,Healthcare,SMB,2022-09-21
CUST_00069,EdTech,Mid-Market,2023-10-23
CUST_00070,EdTech,Enterprise,2022-10-01
CUST_00071,FinTech,SMB,2022-06-21
CUST_00072,Logistics,SMB,2022-09-22
CUST_00073,Logistics,Mid-Market,2022-01-26
CUST_00074,Healthcare,SMB,2023-04-14
CUST_00075,Logistics,Mid-Market,2023-04-21
CUST_00076,Healthcare,SMB,2022-12-22
CUST_00077,FinTech,SMB,2022-01-26
