customer_id,logins_last_30_days,reports_generated,api_calls
CUST_00001,33,13,816
CUST_00002,20,1,823
CUST_00003,42,9,89
CUST_00004,2,0,143
CUST_00005,42,13,44995
CUST_00006,2,0,620
CUST_00007,0,1,863
CUST_00008,33,10,203
CUST_00009,21,4,555
CUST_00010,3,1,519
CUST_00011,10,7,391
CUST_00012,2,1,300
CUST_00013,12,1,906
CUST_00014,36,11,504
CUST_00015,2,0,864
CUST_00016,13,9,152
CUST_00017,27,2,528
CUST_00018,3,0,990
CUST_00019,4,1,338
CUST_00020,25,8,748
CUST_00021,5,6,511
CUST_00022,6,7,950
CUST_00023,44,2,334
CUST_00024,15,4,508
CUST_00025,41,14,55
CUST_00026,22,4,555
CUST_00027,4,1,820
CUST_00028,28,13,752
CUST_00029,23,2,47682
CUST_00030,2,1,6375
CUST_00031,2,1,129
CUST_00032,2,1,19610
CUST_00033,6,8,792
CUST_00034,21,11,421
CUST_00035,49,14,963
CUST_00036,15,1,79
CUST_00037,41,13,287
CUST_00038,17,8,846
CUST_00039,33,14,745
CUST_00040,36,11,845
CUST_00041,49,9,168
CUST_00042,44,8,78
CUST_00043,2,1,70
CUST_00044,12,10,262
CUST_00045,14,1,47661
CUST_00046,29,8,722
CUST_00047,15,12,529
CUST_00048,32,5,784
CUST_00049,37,9,209
CUST_00050,3,0,978
CUST_00051,30,9,116
CUST_00052,12,6,615
CUST_00053,1,0,76
CUST_00054,30,12,314
CUST_00055,36,7,10
CUST_00056,32,3,892
CUST_00057,3,0,50
CUST_00058,39,8,6
CUST_00059,6,5,922
CUST_00060,26,5,954
CUST_00061,26,14,548
CUST_00062,7,4,260
CUST_00063,49,3,573
CUST_00064,12,12,511
CUST_00065,8,8,199
CUST_00066,19,11,329
CUST_00067,48,6,996
CUST_00068,2,1,89
CUST_00069,16,6,590
CUST_00070,33,2,54
CUST_00071,13,4,911
CUST_00072,46,5,220
CUST_00073,44,11,91
CUST_00074,1,1,19921
CUST_00075,38,5,55
CUST_00076,0,1,743
CUST_00077,2,1,178
CUST_00078,27,5,963
CUST_00079,22,5,941
CUST_00080,28,2,60
CUST_00081,1,1,871
CUST_00082,33,3,116
CUST_00083,4,0,589
CUST_00084,42,5,19549
