subscription_id,customer_id,plan_tier,mrr,start_date,end_date,status
SUB_00001,CUST_00001,Pro,199,2023-11-22,,Active
SUB_00002,CUST_00002,Pro,199,2023-07-30,,Active
SUB_00003,CUST_00003,Starter,49,2023-05-24,,Active
SUB_00004,CUST_00004,Pro,199,2022-05-12,2023-03-09,Churned
SUB_00005,CUST_00005,Enterprise,999,2022-11-15,,Active
SUB_00006,CUST_00006,Starter,49,2023-09-13,2023-11-18,Churned
SUB_00007,CUST_00007,Starter,49,2022-06-17,2022-08-01,Churned
SUB_00008,CUST_00008,Starter,49,2023-02-01,,Active
SUB_00009,CUST_00009,Pro,199,2022-06-29,,Active
SUB_00010,CUST_00010,Pro,199,2022-02-27,2022-12-07,Churned
SUB_00011,CUST_00011,Starter,49,2023-04-25,,Active
SUB_00012,CUST_00012,Pro,199,2023-08-14,2023-10-09,Churned
SUB_00013,CUST_00013,Starter,49,2023-04-05,,Active
SUB_00014,CUST_00014,Pro,199,2022-03-02,,Active
SUB_00015,CUST_00015,Starter,49,2023-01-04,2023-05-24,Churned
SUB_00016,CUST_00016,Starter,49,2022-05-01,,Active
SUB_00017,CUST_00017,Starter,49,2023-06-30,,Active
SUB_00018,CUST_00018,Starter,49,2023-08-05,2024-04-23,Churned
SUB_00019,CUST_00019,Pro,199,2022-01-17,2022-04-20,Churned
SUB_00020,CUST_00020,Pro,199,2023-05-11,,Active
SUB_00021,CUST_00021,Starter,49,2023-05-12,,Active
SUB_00022,CUST_00022,Starter,49,2023-05-20,,Active
SUB_00023,CUST_00023,Starter,49,2023-06-16,,Active
SUB_00024,CUST_00024,Pro,199,2022-11-11,,Active
SUB_00025,CUST_00025,Pro,199,2022-03-10,,Active
SUB_00026,CUST_00026,Starter,49,2022-06-10,,Active
SUB_00027,CUST_00027,Pro,199,2023-09-06,2024-01-10,Churned
SUB_00028,CUST_00028,Starter,49,2022-05-25,,Active
SUB_00029,CUST_00029,Enterprise,999,2023-07-23,,Active
SUB_00030,CUST_00030,Enterprise,999,2023-08-18,2024-06-09,Churned
SUB_00031,CUST_00031,Pro,199,2023-01-20,2024-01-10,Churned
SUB_00032,CUST_00032,Enterprise,999,2022-09-26,2023-06-14,Churned
SUB_00033,CUST_00033,Pro,199,2023-03-30,,Active
SUB_00034,CUST_00034,Pro,199,2023-11-30,,Active
SUB_00035,CUST_00035,Pro,199,2023-06-02,,Active
SUB_00036,CUST_00036,Starter,49,2022-12-16,,Active
SUB_00037,CUST_00037,Starter,49,2022-04-20,,Active
SUB_00038,CUST_00038,Starter,49,2023-04-28,,Active
SUB_00039,CUST_00039,Pro,199,2023-02-11,,Active
SUB_00040,CUST_00040,Starter,49,2023-10-12,,Active
SUB_00041,CUST_00041,Starter,49,2022-02-20,,Active
SUB_00042,CUST_00042,Starter,49,2023-02-07,,Active
SUB_00043,CUST_00043,Starter,49,2023-07-17,2023-10-02,Churned
SUB_00044,CUST_00044,Pro,199,2023-04-21,,Active
SUB_00045,CUST_00045,Enterprise,999,2022-03-28,,Active
SUB_00046,CUST_00046,Pro,199,2022-03-09,,Active
SUB_00047,CUST_00047,Pro,199,2023-08-19,,Active
SUB_00048,CUST_00048,Pro,199,2022-02-11,,Active
SUB_00049,CUST_00049,Starter,49,2022-02-26,,Active
SUB_00050,CUST_00050,Starter,49,2022-07-15,2023-03-11,Churned
SUB_00051,CUST_00051,Pro,199,2023-11-09,,Active
SUB_00052,CUST_00052,Starter,49,2022-03-03,,Active
SUB_00053,CUST_00053,Starter,49,2022-09-20,2023-01-03,Churned
SUB_00054,CUST_00054,Pro,199,2022-04-22,,Active
SUB_00055,CUST_00055,Starter,49,2022-06-27,,Active
SUB_00056,CUST_00056,Starter,49,2022-01-26,,Active
SUB_00057,CUST_00057,Starter,49,2023-02-14,2023-11-17,Churned
SUB_00058,CUST_00058,Starter,49,2023-06-15,,Active
