ticket_id,customer_id,priority,resolution_time_hours,satisfaction_score
TKT_000001,CUST_02460,Low,24,3
TKT_000002,CUST_02762,High,65,4
TKT_000003,CUST_02043,Low,67,4
TKT_000004,CUST_00036,Medium,47,4
TKT_000005,CUST_00470,Low,28,5
TKT_000006,CUST_00309,Medium,38,5
TKT_000007,CUST_03269,Low,46,1
TKT_000008,CUST_00481,Low,51,4
TKT_000009,CUST_00789,Medium,44,2
TKT_000010,CUST_00291,Medium,64,3
TKT_000011,CUST_00430,Medium,29,3
TKT_000012,CUST_00598,Medium,69,5
TKT_000013,CUST_04528,Medium,31,3
TKT_000014,CUST_01558,Medium,62,5
TKT_000015,CUST_04601,Medium,44,2
TKT_000016,CUST_00673,Low,42,4
TKT_000017,CUST_02855,High,48,4
TKT_000018,CUST_01579,High,68,4
TKT_000019,CUST_01433,Critical,15,1
TKT_000020,CUST_00041,Medium,44,3
TKT_000021,CUST_04480,Medium,28,4
TKT_000022,CUST_02934,High,44,5
TKT_000023,CUST_01315,Low,47,4
TKT_000024,CUST_01816,High,16,4
TKT_000025,CUST_04279,Low,51,5
TKT_000026,CUST_01896,Low,69,5
TKT_000027,CUST_01064,Low,58,5
TKT_000028,CUST_03297,Medium,56,1
TKT_000029,CUST_00138,Low,38,3
TKT_000030,CUST_00335,Low,18,5
TKT_000031,CUST_04234,Medium,69,3
TKT_000032,CUST_04584,Medium,25,3
TKT_000033,CUST_04672,High,15,4
TKT_000034,CUST_02677,Low,61,4
TKT_000035,CUST_01634,Low,29,3
TKT_000036,CUST_04994,Low,45,5
TKT_000037,CUST_01534,Medium,60,4
TKT_000038,CUST_01109,Low,27,4
TKT_000039,CUST_01587,Low,38,5
TKT_000040,CUST_03862,Medium,49,2
TKT_000041,CUST_04955,High,31,4
TKT_000042,CUST_01113,Low,57,1
TKT_000043,CUST_01113,Medium,30,1
TKT_000044,CUST_02267,Low,12,5
TKT_000045,CUST_02890,Low,55,5
TKT_000046,CUST_00350,Low,34,1
TKT_000047,CUST_03963,Medium,59,5
TKT_000048,CUST_01924,Medium,20,3
TKT_000049,CUST_04501,High,39,4
TKT_000050,CUST_00043,High,31,4
TKT_000051,CUST_03546,Medium,27,4
TKT_000052,CUST_02306,Low,24,4
TKT_000053,CUST_00852,High,44,2
TKT_000054,CUST_03393,Medium,14,2
TKT_000055,CUST_01287,Medium,26,2
TKT_000056,CUST_02483,Low,27,5
TKT_000057,CUST_03780,Medium,41,3
TKT_000058,CUST_04626,High,36,2
TKT_000059,CUST_03369,Medium,25,5
TKT_000060,CUST_03691,Medium,12,1
TKT_000061,CUST_02117,Medium,44,5
TKT_000062,CUST_01049,Medium,48,5
TKT_000063,CUST_02616,High,40,4
TKT_000064,CUST_00513,Medium,48,5
TKT_000065,CUST_00183,High,19,3
TKT_000066,CUST_02102,High,12,1
TKT_000067,CUST_01105,Medium,35,3
TKT_000068,CUST_00160,Low,70,1
TKT_000069,CUST_03458,Low,61,4
TKT_000070,CUST_00738,High,12,5
TKT_000071,CUST_02312,Low,57,4
TKT_000072,CUST_02669,Low,54,3
TKT_000073,CUST_03054,Medium,67,5
TKT_000074,CUST_03381,Low,21,4
TKT_000075,CUST_03116,Medium,29,5
TKT_000076,CUST_00201,Medium,32,5
TKT_000077,CUST_01308,Low,21,5
TKT_000078,CUST_02195,Medium,33,4
TKT_000079,CUST_03476,Medium,62,4
TKT_000080,CUST_04807,Medium,56,3
TKT_000081,CUST_04090,Low,20,5
TKT_000082,CUST_01770,High,20,4
TKT_000083,CUST_03256,Medium,51,5
TKT_000084,CUST_02595,Low,56,5
TKT_000085,CUST_01939,Medium,50,3
TKT_000086,CUST_01233,High,32,5
TKT_000087,CUST_04968,Medium,69,4
TKT_000088,CUST_00575,Medium,42,5
TKT_000089,CUST_00082,Medium,13,4
TKT_000090,CUST_00263,Low,62,5
TKT_000091,CUST_03839,Low,64,3
TKT_000092,CUST_02971,Low,35,1
TKT_000093,CUST_00286,Low,44,5
TKT_000094,CUST_00023,Medium,22,5
TKT_000095,CUST_03668,Low,12,2
TKT_000096,CUST_03991,High,66,4
TKT_000097,CUST_03546,Critical,20,4
TKT_000098,CUST_04302,Medium,62,4
TKT_000099,CUST_01456,Medium,19,5
TKT_000100,CUST_00095,Low,20,5
TKT_000101,CUST_02523,Medium,32,5
TKT_000102,CUST_00137,Medium,58,4
TKT_000103,CUST_02038,Low,33,4
TKT_000104,CUST_02250,Low,40,4
TKT_000105,CUST_03671,Medium,51,4
TKT_000106,CUST_04170,Medium,14,1
TKT_000107,CUST_01346,Medium,60,5
TKT_000108,CUST_04645,High,36,5
TKT_000109,CUST_02685,Medium,29,4
TKT_000110,CUST_01000,Low,71,1
TKT_000111,CUST_03238,Medium,22,3
TKT_000112,CUST_01025,Medium,41,2
TKT_000113,CUST_04387,Medium,36,5
TKT_000114,CUST_04167,High,22,2
TKT_000115,CUST_04204,Low,45,1
TKT_000116,CUST_02646,Low,35,4
